Event,Key,Team Number,Search Qualifier ,Team Name,Photo,Drive Train,One Word,Pit Scouting Notes,Average Score,Average Score Percentile,Percent of Alliance Score,Average Game Pieces Scored,Average Cones Scored,Average Cubes Scored,Average Auto Game Pieces Scored,Average Auto Cone Score,Average Auto Cube Score,Average Auto Cones ,Average Auto Cubes,Average Tele Game Pieces Scored,Average Tele Cone Score,Average tele Cube Score,Average Tele Cones,Average Tele Cubes,Mobility Percentage ,Auto Engaged Percentage ,Average Auto Score,Average Tele Score,Average Endgame Score,Total Whiffs auto,Total Docks Auto,Total Engages Auto,Total Whiffs Teleop,Total Parks Teleop,Total Docks Telop,Total Engages Teleop,Cycle Time,Preload Type,Cone/Cube Prefrence ,Buddy Climb,Focus Areas,Average Links,Avg total charge,Avg Auto Charge,Avg Tele Charge,Avg Rank Points,Calculated Average Score,Width,Mark
2023misjo,frc1940,1940,2023misjo-1940,Tech Tigers 1940,Pit Scouting_Images/b6be9cc4.Picture.135502.jpg,Tank,Fast,,12.33,0.24,21.65%,0.75,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.75,0,1.5,0,0.75,58.33%,0.00%,2.06,1.5,7,11,1,0,2,2,0,8,180s,Cube,Cube,,,0.28,3.83,0.6666666667,7.0,1.58,12.31,,
2023misjo,frc2767,2767,2023misjo-2767,Stryke Force,Pit Scouting_Images/72695406.Picture.144351.jpg,Swerve,Fast,,43.33,0.87,47.40%,5.08,3.83,1.25,1.25,4.50,2.17,0.83,0.42,3.83,11.58,2.83,3,0.83,100.00%,8.00%,15.25,14.42,8.33,4,7,1,0,2,1,9,35.25s,Cone,Neither,,,0.58,7.00,5.666666667,8.3,2.67,41.00,,
2023misjo,frc2959,2959,2023misjo-2959,Robotarians,,Swerve,Defense,Good defense because of swerve drive,14.08,0.53,22.75%,1.83,1.17,0.67,0.75,2.08,1.00,0.50,0.25,1.08,1.58,1.08,0.67,0.42,83.33%,0.00%,4.33,2.67,4.17,12,0,0,3,3,4,2,125s,Cube,Neither,,,0.25,2.08,0,4.2,1.00,13.67,,
2023misjo,frc3452,3452,2023misjo-3452,GreengineerZ,Pit Scouting_Images/a666b168.Picture.134128.jpg,Swerve,Crazy,,11.00,0.32,19.99%,1,0.92,0.08,0.00,0.00,0.00,0.00,0.00,1,2.33,0.17,0.92,0.08,66.67%,0.00%,2.33,2.5,4.33,11,1,0,4,3,1,4,135s,Cube,Cone ,,,0.33,2.50,0.6666666667,4.3,1.00,11.17,,
2023misjo,frc3604,3604,2023misjo-3604,Goon Squad,,Swerve,"dAVE (heavy, big)","Spaghetti pickup, cube pickup is good",19.25,0.42,31.01%,3,0.75,2.25,0.50,1.50,0.50,0.42,0.08,2.5,0.67,8.42,0.33,2.17,41.67%,0.00%,3.67,9.08,5.67,12,0,0,2,3,2,5,54s,Cone,Cube,,,0.33,2.83,0,5.7,1.17,19.67,,
2023misjo,frc3620,3620,2023misjo-3620,Average Joes,Pit Scouting_Images/dc9e6cf0.Picture.235659.jpg,Swerve,Awesome,No,36.83,0.89,45.28%,4.08,2.58,1.50,1.00,6.00,0.00,1.00,0.00,3.08,7.5,6.83,1.58,1.5,41.67%,50.00%,15.58,14.33,5.67,5,1,6,4,1,1,6,43.83s,Cone,Cone ,,,0.58,6.17,6.666666667,5.7,2.25,36.83,,
2023misjo,frc3658,3658,2023misjo-3658,Robo - Beavers,Unable to load image data. Image may be missing or upload size may be too large for this device. The image may still be in the camera roll on the device.,Tank,Small,Small light charge station,17.92,0.47,31.54%,2.67,0.33,2.33,0.25,0.67,0.33,0.17,0.08,2.42,0.58,5.67,0.17,2.25,50.00%,8.00%,3.81,6.25,6.33,11,0,1,2,2,2,6,55.79s,Cube,Cube,,,0.36,3.67,1,6.3,0.83,17.89,,
2023misjo,frc3875,3875,2023misjo-3875,Red Storm Robotics,,,,,25.75,0.79,41.31%,1.92,1.92,0.00,0.08,0.25,0.00,0.08,0.00,1.83,7.92,0,1.83,0,91.67%,58.00%,9.31,7.92,5.5,4,1,7,3,3,0,6,73.77s,,,,,0.28,6.58,7.666666667,5.5,1.50,25.47,,
2023misjo,frc4237,4237,2023misjo-4237,Team Lance-A-Bot,Pit Scouting_Images/5ef8060a.Picture.133012.jpg,Swerve,Sweet,26 inch? chassis,43.42,0.97,46.18%,3.5,3.00,0.50,0.75,4.00,0.33,0.67,0.08,2.75,10.83,1.08,2.33,0.42,100.00%,92.00%,17.83,11.92,10,1,0,11,0,0,0,12,49.09s,Cone,Cone ,,,0.5,10.50,11,10.0,2.67,42.75,,
2023misjo,frc4325,4325,2023misjo-4325,RoboRangers,Pit Scouting_Images/dafe7518.Picture.140746.jpg,Swerve,Grippy,,23.17,0.63,34.94%,3,2.08,0.92,0.67,0.75,2.50,0.25,0.42,2.33,7.25,2.08,1.83,0.5,25.00%,0.00%,5.47,9.33,7.67,12,0,0,2,1,0,9,57.94s,Cone,Cone ,,,0.44,3.83,0,7.7,1.42,23.22,,
2023misjo,frc4776,4776,2023misjo-4776,S.C.O.T.S. Bots,Pit Scouting_Images/b81e0d9a.Picture.140408.jpg,Swerve,Scorpion,,33.58,0.68,51.33%,4.08,1.92,2.17,0.42,1.25,0.50,0.33,0.08,3.67,7.17,7.17,1.58,2.08,75.00%,25.00%,8.33,14.33,8.67,8,1,3,0,2,0,10,36.78s,Cone,Neither,,,0.58,6.17,3.666666667,8.7,2.00,33.58,,
2023misjo,frc5056,5056,2023misjo-5056,MegaHurtz Robotics,,,,,7.00,0.13,12.37%,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,1.67,0,5.33,12,0,0,2,4,1,5,_,,,,,0.33,2.67,0,5.3,1.42,7.00,,
2023misjo,frc5110,5110,2023misjo-5110,Robo Herd,,,,,14.08,0.45,27.59%,2.75,1.25,1.50,0.83,2.50,0.00,0.83,0.00,1.92,1.17,4.92,0.42,1.5,33.33%,0.00%,3.75,6.08,3.5,12,0,0,3,6,0,3,70.31s,,,,,0.25,1.75,0,3.5,1.25,14.33,,
2023misjo,frc5152,5152,2023misjo-5152,Alotobots,,Swerve,Fast,"Fast, 180 degree arm, can move pieces",43.92,0.84,54.82%,4.58,2.17,2.42,0.00,0.00,0.00,0.00,0.00,4.58,8.83,9.92,2.17,2.42,83.33%,67.00%,12.36,18.75,9.67,1,3,8,0,0,1,11,29.48s,Cube,Cube,,,0.47,9.83,10,9.7,2.00,43.28,,
2023misjo,frc5182,5182,2023misjo-5182,Chieftainators,Pit Scouting_Images/f5333d27.Picture.002245.jpg,Mecanum,Sketchy,They just handed me a sheet to go off of.,17.42,0.37,27.27%,2.42,0.42,2.00,0.33,0.75,0.75,0.17,0.17,2.08,0.75,7.17,0.25,1.83,41.67%,0.00%,3.44,7.92,5,12,0,0,0,7,1,4,64.9s,Neither,Cone ,,,0.39,2.50,0,5.0,1.33,17.61,,
2023misjo,frc5227,5227,2023misjo-5227,Eagle Elite,Pit Scouting_Images/d97db742.Picture.132728.jpg,Tank,Support,"Prefers link, strong auto",18.83,0.58,30.04%,3.42,1.08,2.33,0.83,0.33,4.00,0.08,0.75,2.58,2.58,5.33,1,1.58,83.33%,0.00%,5.17,7.92,3.67,12,0,0,0,9,1,2,52.33s,Cube,Cube,,,0.17,1.83,0,3.7,1.25,19.25,,
2023misjo,frc5247,5247,2023misjo-5247,Red Devil Robotics,Pit Scouting_Images/2c548ab9.Picture.001524.jpg,Tank,Tank,Lot of 3d printed parts,13.67,0.34,23.86%,1.75,1.33,0.42,0.17,0.75,0.00,0.17,0.00,1.58,5.58,1.25,1.17,0.42,8.33%,8.00%,3,6.83,3.5,11,0,1,1,8,1,2,85.44s,Cone,Neither,,,0.25,2.25,1,3.5,1.00,13.58,,
2023misjo,frc5462,5462,2023misjo-5462,2PawR (2Paw Robotics),Pit Scouting_Images/db0951a1.Picture.235923.jpg,Tank,Wheels,10 wheels,28.00,0.71,38.39%,3.27,2.00,1.27,1.00,0.00,6.00,0.00,1.00,2.27,9.09,1.18,2,0.27,100.00%,0.00%,8.58,10.27,6.55,11,0,0,1,3,1,6,59.47s,Cone,Neither,,,0.52,3.27,0,6.5,1.64,28.39,,
2023misjo,frc5535,5535,2023misjo-5535,Bionic Bison,Pit Scouting_Images/a620815f.Picture.141222.jpg,Swerve,Special,None,22.08,0.74,34.64%,2.67,0.83,1.83,0.67,0.00,3.83,0.00,0.67,2,2.25,3.67,0.83,1.17,50.00%,8.00%,8.78,5.92,5.67,8,3,1,2,3,2,5,67.5s,Cube,Cube,,,0.39,4.33,3,5.7,1.08,21.86,,
2023misjo,frc5610,5610,2023misjo-5610,Turbulence,Pit Scouting_Images/955a57cf.Picture.140518.jpg,Tank,Strong,"Very good at charging, not good at auto.",16.33,0.50,30.37%,3.08,0.58,2.50,0.50,1.58,0.00,0.50,0.00,2.58,0.17,9.25,0.08,2.5,41.67%,0.00%,4.06,9.42,2.33,11,1,0,4,6,1,1,52.33s,Cone,Cube,,,0.36,1.50,0.6666666667,2.3,1.50,17.06,,
2023misjo,frc5623,5623,2023misjo-5623,Robotic Rams,Pit Scouting_Images/b5fd0de2.Picture.002639.jpg,Tank,Win,,14.67,0.39,27.72%,2,0.58,1.42,0.08,0.50,0.00,0.08,0.00,1.92,1.42,3.92,0.5,1.42,91.67%,0.00%,3.61,5.33,3,9,3,0,2,8,0,2,70.31s,Cube,Neither,,,0.22,2.50,2,3.0,1.33,14.69,,
2023misjo,frc5675,5675,2023misjo-5675,WiredCats,,Swerve,Ours,,43.42,0.92,54.98%,6.33,1.17,5.17,0.92,4.50,1.00,0.75,0.17,5.42,1.67,19.33,0.42,5,25.00%,67.00%,15.67,21,6.33,2,2,8,2,2,2,6,24.91s,No Preference ,Cube,,,0.17,7.83,9.333333333,6.3,1.83,43.75,36.00,
2023misjo,frc5712,5712,2023misjo-5712,Hemlock's Gray Matter,Unable to load image data. Image may be missing or upload size may be too large for this device. The image may still be in the camera roll on the device.,Swerve,Offensive,,47.00,0.95,56.09%,6.58,3.33,3.25,1.08,0.00,6.33,0.00,1.08,5.5,14.25,8.33,3.33,2.17,58.33%,33.00%,16.33,22.58,7.83,4,4,4,1,1,2,8,24.55s,Cube,Neither,,,0.67,7.25,6.666666667,7.8,1.83,48.50,,
2023misjo,frc5843,5843,2023misjo-5843,Flurb,Pit Scouting_Images/f51bf399.Picture.001518.jpg,Swerve,googley-eyes,,19.75,0.66,34.15%,2.25,1.50,0.75,0.67,3.50,0.00,0.67,0.00,1.58,3,3.58,0.83,0.75,50.00%,0.00%,5.83,6.58,5.67,11,1,0,2,3,2,5,85.44s,Cone,Neither,,,0.33,3.17,0.6666666667,5.7,1.42,19.58,,
2023misjo,frc5927,5927,2023misjo-5927,Globetrotters,Pit Scouting_Images/c1d8d52a.Picture.142115.jpg,Swerve,Derrabe,,19.25,0.61,35.79%,2.33,2.17,0.17,0.58,3.25,0.00,0.58,0.00,1.75,5.08,0.83,1.58,0.17,58.33%,0.00%,5.19,5.92,6.17,12,0,0,1,4,1,6,77.14s,Cone,Cone ,,,0.39,3.08,0,6.2,1.67,19.03,,
2023misjo,frc5980,5980,2023misjo-5980,East Grand Rapids Robotics,Pit Scouting_Images/b2974e59.Picture.002646.jpg,Swerve,Bug,,9.42,0.21,16.81%,1.08,0.08,1.00,0.00,0.00,0.00,0.00,0.00,1.08,0.17,3.17,0.08,1,83.33%,0.00%,1.92,3.33,2.17,11,1,0,3,8,0,1,125s,Neither,Neither,,,0.25,1.42,0.6666666667,2.2,0.83,9.92,,
2023misjo,frc5982,5982,2023misjo-5982,Circuits of Destruction,Pit Scouting_Images/efd204b8.Picture.141531.jpg,Swerve,Quick,,16.92,0.24,33.08%,1.5,1.00,0.50,0.00,0.00,0.00,0.00,0.00,1.5,3.25,2,1,0.5,83.33%,0.00%,2.06,5.25,7,11,1,0,2,1,2,7,90s,Neither,Cube,,,0.28,3.83,0.6666666667,7.0,1.17,16.81,,
2023misjo,frc6002,6002,2023misjo-6002,ZooBOTix,Pit Scouting_Images/6a0e5fc1.Picture.141017.jpg,Swerve,Light,,49.55,1.00,53.31%,4.73,3.18,1.55,0.91,5.45,0.00,0.91,0.00,3.82,11.09,6.73,2.27,1.55,90.91%,91.00%,20,17.82,9.27,1,0,10,0,1,0,10,35.34s,Cone,Cone ,,,0.73,10.09,10.90909091,9.3,2.91,49.82,,
2023misjo,frc6588,6588,2023misjo-6588,Counter-Torque Robotics,Pit Scouting_Images/4f410df4.Picture.142202.jpg,Tank,Defensive,None,16.58,0.13,30.17%,1.92,1.92,0.00,0.00,0.00,0.00,0.00,0.00,1.92,5.33,0,1.92,0,91.67%,0.00%,1.67,5.33,6.83,12,0,0,3,1,0,8,70.31s,Neither,Cone ,,,0.33,3.42,0,6.8,1.33,16.58,,
2023misjo,frc6642,6642,2023misjo-6642,Harrison Stingers of Steel,Pit Scouting_Images/f6746cf9.Picture.141751.jpg,Swerve,Fast,,9.83,0.18,17.82%,1.08,0.00,1.08,0.00,0.00,0.00,0.00,0.00,1.08,0,4.42,0,1.08,75.00%,0.00%,1.78,4.42,1.33,11,1,0,4,8,0,0,125s,Neither,Neither,,,0.22,1.00,0.6666666667,1.3,1.00,9.78,,
2023misjo,frc7210,7210,2023misjo-7210,RoboJackets  7210,Pit Scouting_Images/dd31cfbd.Picture.143650.jpg,Tank,Diverse,,12.00,0.05,23.16%,1.42,1.08,0.33,0.00,0.00,0.00,0.00,0.00,1.42,2.17,0.67,1.08,0.33,33.33%,0.00%,1.25,2.83,6.83,12,0,0,1,3,1,7,95.07s,Cube,Neither,,,0.25,3.42,0,6.8,0.50,11.92,,
2023misjo,frc74,74,2023misjo-74,Team CHAOS,Pit Scouting_Images/c6a2d4c1.Picture.010003.jpg,Swerve,CHAOS,,35.42,0.82,44.98%,4.17,2.25,1.92,0.92,0.75,4.25,0.17,0.75,3.25,9.92,4.08,2.08,1.17,83.33%,25.00%,10.78,14,8.67,9,0,3,0,2,0,10,41.54s,Cone,Cone ,,,0.56,5.83,3,8.7,1.75,35.94,,
2023misjo,frc7809,7809,2023misjo-7809,Valhalla Nation,Unable to load image data. Image may be missing or upload size may be too large for this device. The image may still be in the camera roll on the device.,Cade,Pig,,8.58,0.08,20.48%,1.58,0.17,1.42,0.00,0.00,0.00,0.00,0.00,1.58,0.33,2.83,0.17,1.42,33.33%,0.00%,1.39,3.17,3,12,0,0,2,8,0,2,85.44s,Cone,Cone ,,,0.28,1.50,0,3.0,0.33,8.56,,
2023misjo,frc7814,7814,2023misjo-7814,RV Gearheads,Pit Scouting_Images/d443c146.Picture.143816.jpg,Tank,Wild,None,6.75,0.00,13.42%,0.83,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.83,0,2.17,0,0.83,0.00%,0.00%,0.83,2.17,3.83,12,0,0,1,8,0,3,162.65s,Cone,Cube,,,0.17,1.92,0,3.8,1.33,6.83,,
2023misjo,frc8126,8126,2023misjo-8126,Control Freaks,Unable to load image data. Image may be missing or upload size may be too large for this device. The image may still be in the camera roll on the device.,Swerve,No,N/A,21.25,0.55,34.96%,2.75,0.17,2.58,0.75,0.00,3.50,0.00,0.75,2,0.58,8.08,0.17,1.83,91.67%,0.00%,4.75,8.67,5.17,12,0,0,3,3,1,5,67.5s,Cube,Neither,,,0.25,2.58,0,5.2,1.50,21.33,,
2023misjo,frc9208,9208,2023misjo-9208,Eddies Circuit,Pit Scouting_Images/a67fd07f.Picture.235947.jpg,Tank,Reliable,Brake for charge station,31.17,0.76,43.90%,3.75,1.58,2.17,0.92,0.50,5.00,0.08,0.83,2.83,7,5.67,1.5,1.33,91.67%,0.00%,8.92,12.67,6.33,10,2,0,2,2,2,6,47.7s,Cube,Cone ,,,0.42,3.83,1.333333333,6.3,1.08,30.67,,
2023misjo,frc9228,9228,2023misjo-9228,The Cougar Coders,,Tank,Fast,Can brake,8.33,0.03,14.58%,0.5,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.5,0,1,0,0.5,0.00%,0.00%,1.11,1,6.17,12,0,0,3,2,0,7,270s,Neither,Cube,,,0.22,3.08,0,6.2,0.75,8.28,,
2023misjo,frc9239,9239,2023misjo-9239,Panthers robotics,Pit Scouting_Images/414abe19.Picture.235929.jpg,Tank,Bad,Good at driving it,13.83,0.29,24.97%,2.58,0.25,2.33,0.17,0.25,0.25,0.08,0.08,2.42,0.33,4.5,0.17,2.25,83.33%,0.00%,2.31,4.83,4.17,12,0,0,1,7,1,3,55.79s,Cube,Cube,,,0.36,2.08,0,4.2,1.00,13.81,,
2023misjo,frc94,94,2023misjo-94,The  TechnoJays,Pit Scouting_Images/041dcee3.Picture.143439.jpg,Tank,Fast,,11.50,0.08,21.89%,1,0.67,0.33,0.00,0.00,0.00,0.00,0.00,1,1.92,1.25,0.67,0.33,8.33%,0.00%,1.39,3.17,6.17,12,0,0,3,1,2,6,135s,Cone,Cone ,,,0.28,3.08,0,6.2,0.58,10.97,,
2023milak,frc1481,1481,2023milak-1481,The Riveters,Pit Scouting_Images/fe43900e.Picture.214601.jpg,Swerve,Reliable,,33.14,0.61,39.36%,4.5,3.42,1.08,1.00,6.00,0.00,1.00,0.00,3.5,10.08,4.75,2.42,1.08,58.33%,0.00%,11.22,14.83,5.33,10,2,0,2,4,1,5,38.57s,Cone,Neither,,,0.78,3.33,1.333333333,5.3,1.67,33.14,30.00,
2023milak,frc1504,1504,2023milak-1504,Desperate Penguins,Pit Scouting_Images/700a5106.Picture.214622.jpg,Mecanum,Penguin,,26.36,0.24,34.42%,3.58,0.17,3.42,0.75,0.00,2.25,0.00,0.75,2.83,0.33,10.75,0.17,2.67,100.00%,0.00%,4.61,11.08,7.67,12,0,0,0,3,1,8,47.7s,Cube,Cone ,,,0.47,3.83,0,7.7,1.33,26.36,26.00,
2023milak,frc1684,1684,2023milak-1684,The Chimeras,Pit Scouting_Images/f224452c.Picture.215409.jpg,Swerve,Fast,,42.75,0.84,45.68%,6.08,4.58,1.50,0.75,3.50,0.83,0.58,0.17,5.33,11.75,4.25,4,1.33,66.67%,42.00%,15.36,16,9.17,4,3,5,1,0,0,11,25.33s,Cone,Cone ,,,0.81,8.08,7,9.2,2.42,42.53,32.00,
2023milak,frc216,216,2023milak-216,More RoboDawgs,Pit Scouting_Images/4ec7e93f.Picture.221745.jpg,Tank,Gaming,None,25.39,0.53,31.91%,3.58,1.50,2.08,0.92,0.00,3.33,0.00,0.92,2.67,4.08,2.83,1.5,1.17,66.67%,8.00%,9.14,6.92,7.33,9,2,1,2,1,1,8,50.56s,Cube,Cube,,,0.69,4.83,2.333333333,7.3,2.08,25.39,26.00,
2023milak,frc244,244,2023milak-244,RoboDawgs 3D,Pit Scouting_Images/bf571ab9.Picture.220007.jpg,Tank,Efficient,,26.67,0.76,31.22%,2.67,1.75,0.92,0.83,0.25,2.25,0.08,0.75,1.83,4,0.42,1.67,0.17,41.67%,58.00%,13.5,4.42,7.5,4,1,7,1,2,1,8,73.77s,Cube,Cone ,,,0.67,7.58,7.666666667,7.5,2.00,26.67,30.00,
2023milak,frc2611,2611,2023milak-2611,Jacktown Vectors,Pit Scouting_Images/ddbd8ecd.Picture.220341.jpg,Tank,Hourmeter,"- Auto balance with only half on station (for more space) 
- Bottom heavy",45.56,0.89,41.45%,5,3.42,1.58,0.83,0.00,5.00,0.00,0.83,4.17,14.75,3.75,3.42,0.75,58.33%,58.00%,17.14,18.5,8.17,5,0,7,1,1,1,9,32.37s,Cube,Neither,,,1.03,7.58,7,8.2,2.75,45.56,32.00,
2023milak,frc288,288,2023milak-288,The RoboDawgs,Pit Scouting_Images/6558f74a.Picture.220655.jpg,Tank,Brand-new,,28.42,0.63,44.11%,3.27,0.09,3.18,0.91,0.00,4.73,0.00,0.91,2.36,0.18,7.27,0.09,2.27,72.73%,36.00%,11.33,7.45,7.45,6,1,4,2,1,0,8,57.2s,Cone,Neither,,,0.3,6.27,5.090909091,7.5,1.45,28.42,24.00,
